"subject","activity","tBodyAcc-mean()-X.mean","tBodyAcc-mean()-X.std","tBodyAcc-mean()-Y.mean","tBodyAcc-mean()-Y.std","tBodyAcc-mean()-Z.mean","tBodyAcc-mean()-Z.std","tBodyAcc-std()-X.mean","tBodyAcc-std()-X.std","tBodyAcc-std()-Y.mean","tBodyAcc-std()-Y.std","tBodyAcc-std()-Z.mean","tBodyAcc-std()-Z.std","tGravityAcc-mean()-X.mean","tGravityAcc-mean()-X.std","tGravityAcc-mean()-Y.mean","tGravityAcc-mean()-Y.std","tGravityAcc-mean()-Z.mean","tGravityAcc-mean()-Z.std","tGravityAcc-std()-X.mean","tGravityAcc-std()-X.std","tGravityAcc-std()-Y.mean","tGravityAcc-std()-Y.std","tGravityAcc-std()-Z.mean","tGravityAcc-std()-Z.std","tBodyAccJerk-mean()-X.mean","tBodyAccJerk-mean()-X.std","tBodyAccJerk-mean()-Y.mean","tBodyAccJerk-mean()-Y.std","tBodyAccJerk-mean()-Z.mean","tBodyAccJerk-mean()-Z.std","tBodyAccJerk-std()-X.mean","tBodyAccJerk-std()-X.std","tBodyAccJerk-std()-Y.mean","tBodyAccJerk-std()-Y.std","tBodyAccJerk-std()-Z.mean","tBodyAccJerk-std()-Z.std","tBodyGyro-mean()-X.mean","tBodyGyro-mean()-X.std","tBodyGyro-mean()-Y.mean","tBodyGyro-mean()-Y.std","tBodyGyro-mean()-Z.mean","tBodyGyro-mean()-Z.std","tBodyGyro-std()-X.mean","tBodyGyro-std()-X.std","tBodyGyro-std()-Y.mean","tBodyGyro-std()-Y.std","tBodyGyro-std()-Z.mean","tBodyGyro-std()-Z.std","tBodyGyroJerk-mean()-X.mean","tBodyGyroJerk-mean()-X.std","tBodyGyroJerk-mean()-Y.mean","tBodyGyroJerk-mean()-Y.std","tBodyGyroJerk-mean()-Z.mean","tBodyGyroJerk-mean()-Z.std","tBodyGyroJerk-std()-X.mean","tBodyGyroJerk-std()-X.std","tBodyGyroJerk-std()-Y.mean","tBodyGyroJerk-std()-Y.std","tBodyGyroJerk-std()-Z.mean","tBodyGyroJerk-std()-Z.std","tBodyAccMag-mean().mean","tBodyAccMag-mean().std","tBodyAccMag-std().mean","tBodyAccMag-std().std","tGravityAccMag-mean().mean","tGravityAccMag-mean().std","tGravityAccMag-std().mean","tGravityAccMag-std().std","tBodyAccJerkMag-mean().mean","tBodyAccJerkMag-mean().std","tBodyAccJerkMag-std().mean","tBodyAccJerkMag-std().std","tBodyGyroMag-mean().mean","tBodyGyroMag-mean().std","tBodyGyroMag-std().mean","tBodyGyroMag-std().std","tBodyGyroJerkMag-mean().mean","tBodyGyroJerkMag-mean().std","tBodyGyroJerkMag-std().mean","tBodyGyroJerkMag-std().std","fBodyAcc-mean()-X.mean","fBodyAcc-mean()-X.std","fBodyAcc-mean()-Y.mean","fBodyAcc-mean()-Y.std","fBodyAcc-mean()-Z.mean","fBodyAcc-mean()-Z.std","fBodyAcc-std()-X.mean","fBodyAcc-std()-X.std","fBodyAcc-std()-Y.mean","fBodyAcc-std()-Y.std","fBodyAcc-std()-Z.mean","fBodyAcc-std()-Z.std","fBodyAccJerk-mean()-X.mean","fBodyAccJerk-mean()-X.std","fBodyAccJerk-mean()-Y.mean","fBodyAccJerk-mean()-Y.std","fBodyAccJerk-mean()-Z.mean","fBodyAccJerk-mean()-Z.std","fBodyAccJerk-std()-X.mean","fBodyAccJerk-std()-X.std","fBodyAccJerk-std()-Y.mean","fBodyAccJerk-std()-Y.std","fBodyAccJerk-std()-Z.mean","fBodyAccJerk-std()-Z.std","fBodyGyro-mean()-X.mean","fBodyGyro-mean()-X.std","fBodyGyro-mean()-Y.mean","fBodyGyro-mean()-Y.std","fBodyGyro-mean()-Z.mean","fBodyGyro-mean()-Z.std","fBodyGyro-std()-X.mean","fBodyGyro-std()-X.std","fBodyGyro-std()-Y.mean","fBodyGyro-std()-Y.std","fBodyGyro-std()-Z.mean","fBodyGyro-std()-Z.std","fBodyAccMag-mean().mean","fBodyAccMag-mean().std","fBodyAccMag-std().mean","fBodyAccMag-std().std","fBodyBodyAccJerkMag-mean().mean","fBodyBodyAccJerkMag-mean().std","fBodyBodyAccJerkMag-std().mean","fBodyBodyAccJerkMag-std().std","fBodyBodyGyroMag-mean().mean","fBodyBodyGyroMag-mean().std","fBodyBodyGyroMag-std().mean","fBodyBodyGyroMag-std().std","fBodyBodyGyroJerkMag-mean().mean","fBodyBodyGyroJerkMag-mean().std","fBodyBodyGyroJerkMag-std().mean","fBodyBodyGyroJerkMag-std().std","train"
29,"LAYING",0.287295197,0.043163764,-0.017196548, 0.003134853,-0.109462068, 0.009007290,-0.984219556, 0.032660333,-0.990240947, 0.012602254,-0.987255150, 0.028177870,-0.346789843, 0.052244189, 0.807535373, 0.031461188, 0.590452224, 0.047595544,-0.972939890, 0.075913394,-0.994247649, 0.012494586,-0.985778178, 0.038517393,0.071886120,0.018838193, 1.169121e-02, 7.164100e-03, 2.415428e-03, 1.971231e-02,-0.992005989, 0.002623229,-0.989513566, 0.004030174,-0.993288313, 0.002870159,-0.0258281005, 0.0210383583,-0.076181436, 0.043489916, 0.1274119717, 0.1345098045,-0.994276591, 0.010648605,-0.992750958, 0.012460241,-0.97499462, 0.04773333,-0.099533988, 0.008361401,-0.038676830, 0.008433509,-0.067446967, 0.031126096,-0.996542541, 0.002905361,-0.997081576, 0.001783027,-0.995380795, 0.001537704,-0.9864931967, 0.0326162638,-0.98157215, 0.05145867,-0.9864931967, 0.0326162638,-0.98157215, 0.05145867,-0.992725368, 0.002411259,-0.994646917, 0.003379150,-0.971923623, 0.064441207,-0.97704009, 0.04933043,-0.997322527, 0.001608739,-0.997666072, 0.002654093,-0.986626999, 0.023645527,-0.989034304, 0.009053126,-0.989473927, 0.018117007,-0.983432309, 0.035787445,-0.990680395, 0.013660933,-0.986378776, 0.030975488,-0.992153982, 0.002698792,-0.989398824, 0.004550062,-0.992018448, 0.003458968,-0.992543478, 0.002403590,-0.990468083, 0.003256894,-0.993107760, 0.002509624,-0.993122609, 0.011922122,-0.993696337, 0.009626808,-0.97618432, 0.04411251,-0.99465219, 0.01025590,-0.992240786, 0.013921822,-0.97685896, 0.04459243,-0.986800645, 0.032155704,-0.9815997836, 0.0520541438,-0.9939982758, 0.0035821559,-0.994366668, 0.003373868,-0.9840013417, 0.0335827084,-0.97667905, 0.05029338,-0.997617389, 0.002316857,-0.997585231, 0.002963387,1
30,"LAYING",0.281033901,0.020308772,-0.019449410, 0.007495519,-0.103658151, 0.013706617,-0.976362515, 0.026302711,-0.954201824, 0.073475842,-0.967044236, 0.053480070,-0.344737755, 0.075805609, 0.732661248, 0.063206580, 0.681459211, 0.065564374,-0.979563943, 0.033136305,-0.988930715, 0.021494526,-0.983274525, 0.026344769,0.075219667,0.012292510, 1.076802e-02, 1.983195e-02,-3.741897e-04, 2.395960e-02,-0.977463776, 0.029802309,-0.971049778, 0.032760591,-0.979517896, 0.024677390,-0.0267812219, 0.0281721514,-0.076147635, 0.040290670, 0.0938472163, 0.0534533092,-0.973662822, 0.047923026,-0.966041673, 0.040346714,-0.96888916, 0.05256569,-0.102277359, 0.020644343,-0.038487587, 0.013609880,-0.059573677, 0.017459005,-0.983775834, 0.023366006,-0.980357062, 0.024335260,-0.980768875, 0.032379655,-0.9698299843, 0.0447861421,-0.96016791, 0.05508232,-0.9698299843, 0.0447861421,-0.96016791, 0.05508232,-0.979232820, 0.023150429,-0.969642290, 0.043030918,-0.962284921, 0.055898272,-0.95126444, 0.07030627,-0.985086413, 0.020080367,-0.976177143, 0.032136707,-0.974789999, 0.030157888,-0.959974275, 0.054024295,-0.970321992, 0.043604746,-0.977045261, 0.024792920,-0.953558400, 0.077706318,-0.967188199, 0.054740391,-0.976887902, 0.031787588,-0.971696280, 0.032520025,-0.975632420, 0.030641833,-0.980350748, 0.024641966,-0.972434197, 0.030863935,-0.982281553, 0.017958745,-0.971789053, 0.045658214,-0.968170332, 0.037927743,-0.96757736, 0.05454878,-0.97448840, 0.04794963,-0.965134152, 0.041692136,-0.97219924, 0.04720146,-0.962840820, 0.050496528,-0.9640518107, 0.0492108404,-0.9699492696, 0.0429508025,-0.968087778, 0.043137785,-0.9620011990, 0.0521444535,-0.95264445, 0.06959926,-0.977821336, 0.030439545,-0.975481549, 0.032219573,1
 1,"SITTING",0.261237565,0.063329657,-0.001308288, 0.047465297,-0.104544182, 0.042159412,-0.977229008, 0.051696823,-0.922618642, 0.151866471,-0.939586291, 0.138360679, 0.831509933, 0.090641331, 0.204411593, 0.111323223, 0.332043703, 0.069907067,-0.968457146, 0.071797526,-0.935517056, 0.138009140,-0.949040933, 0.119224653,0.077482520,0.023881110,-6.191028e-04, 7.065569e-02,-3.367792e-03, 7.478848e-02,-0.986430711, 0.027196302,-0.981371965, 0.030343160,-0.987910804, 0.019285519,-0.0453500565, 0.0462953509,-0.091924155, 0.061803247, 0.0629313812, 0.1834880283,-0.977211283, 0.056615757,-0.966473895, 0.101985328,-0.94142592, 0.10246336,-0.093679381, 0.022228734,-0.040211812, 0.013638721,-0.046702627, 0.039056116,-0.991731592, 0.022603630,-0.989518069, 0.024543461,-0.987935806, 0.029652136,-0.9485367862, 0.1112647203,-0.92707842, 0.16997937,-0.9485367862, 0.1112647203,-0.92707842, 0.16997937,-0.987364196, 0.022930168,-0.984120024, 0.036171354,-0.930892490, 0.108769383,-0.93453184, 0.14219568,-0.991976341, 0.019798697,-0.988308729, 0.032305141,-0.979641239, 0.043736054,-0.944084550, 0.106595452,-0.959184889, 0.090332525,-0.976412313, 0.054672218,-0.917275006, 0.161981164,-0.934469558, 0.150284254,-0.986597023, 0.026576415,-0.981579467, 0.029534925,-0.986053092, 0.020334887,-0.987492994, 0.025458655,-0.982513910, 0.029224343,-0.988339185, 0.018362592,-0.976161464, 0.051769839,-0.975838585, 0.062049142,-0.95131554, 0.07735840,-0.97790423, 0.05711348,-0.962345043, 0.119660771,-0.94391784, 0.10024399,-0.947782923, 0.116193578,-0.9284448017, 0.1673861756,-0.9852621268, 0.0305386342,-0.981606177, 0.042529640,-0.9584355894, 0.0795250163,-0.93219837, 0.15147437,-0.989797547, 0.026390269,-0.987049617, 0.036722832,1
 2,"SITTING",0.277087352,0.023134735,-0.015687994, 0.027681000,-0.109218272, 0.040288052,-0.986822280, 0.032408642,-0.950704499, 0.089148948,-0.959828172, 0.074075403, 0.940477273, 0.028780199,-0.105630024, 0.055930993, 0.198726769, 0.108004876,-0.979988761, 0.067834395,-0.956750273, 0.110900983,-0.954415873, 0.107680741,0.072256439,0.025690496, 1.169545e-02, 5.068054e-02, 7.605469e-03, 5.319663e-02,-0.988055854, 0.010467105,-0.977983955, 0.013062023,-0.987518212, 0.008292773,-0.0454706620, 0.0509735372,-0.059928680, 0.060783444, 0.0412277462, 0.1909095703,-0.985742028, 0.016449220,-0.978919527, 0.013553367,-0.95980371, 0.04203663,-0.093632841, 0.011518855,-0.041560203, 0.010936968,-0.043585097, 0.033861661,-0.989709023, 0.008592187,-0.990889615, 0.006852214,-0.985542326, 0.008084815,-0.9678936239, 0.0576679350,-0.95308144, 0.11409643,-0.9678936239, 0.0576679350,-0.95308144, 0.11409643,-0.986774713, 0.008776358,-0.984475868, 0.015722581,-0.946035087, 0.097228729,-0.96131362, 0.04664525,-0.991081494, 0.005873569,-0.989594920, 0.009509950,-0.985803841, 0.030947507,-0.957343498, 0.066544472,-0.970162173, 0.053791981,-0.987362090, 0.033079087,-0.950073754, 0.093953470,-0.956862864, 0.078511957,-0.987848794, 0.010996282,-0.977139703, 0.013942600,-0.985129050, 0.009541652,-0.989459107, 0.008986765,-0.980804228, 0.011049512,-0.988570804, 0.007170350,-0.982621390, 0.017276628,-0.982100924, 0.011769745,-0.95981482, 0.03918566,-0.98680850, 0.01619084,-0.977356189, 0.014814596,-0.96352266, 0.03932198,-0.961273748, 0.087624054,-0.9555756022, 0.1089235471,-0.9838746989, 0.0148805192,-0.984124186, 0.017027692,-0.9718405961, 0.0308765569,-0.96138575, 0.04805438,-0.989861951, 0.008614354,-0.989632909, 0.010092163,0
 3,"SITTING",0.257197599,0.086603327,-0.003502998, 0.064827023,-0.098357920, 0.065545675,-0.971010121, 0.049663738,-0.856617812, 0.213992192,-0.875110175, 0.223363554, 0.901098985, 0.101317158, 0.127303379, 0.143715162, 0.139020582, 0.161685630,-0.957324458, 0.089362133,-0.903923008, 0.177975429,-0.897736318, 0.152384721,0.072609842,0.025402876, 2.725291e-03, 1.104797e-01,-4.233484e-03, 1.017226e-01,-0.974467390, 0.036956335,-0.953631391, 0.056321992,-0.974661566, 0.031635003,-0.0385365205, 0.0343033635,-0.075241003, 0.083771233, 0.0940113976, 0.1540110272,-0.965434768, 0.085166861,-0.944854571, 0.092274369,-0.92641371, 0.11376982,-0.103605889, 0.055982527,-0.036090988, 0.032866827,-0.059007997, 0.043464863,-0.972546906, 0.040339507,-0.978635909, 0.027174852,-0.973751671, 0.038216783,-0.8953833502, 0.1630570568,-0.87030170, 0.19673758,-0.8953833502, 0.1630570568,-0.87030170, 0.19673758,-0.969080753, 0.039770611,-0.966550084, 0.050146109,-0.919354372, 0.111838747,-0.92551810, 0.13369252,-0.977998052, 0.030223224,-0.976772676, 0.033854356,-0.970154441, 0.047907850,-0.891907751, 0.157625236,-0.917987925, 0.126278664,-0.971605878, 0.050596615,-0.849655658, 0.226024711,-0.864322464, 0.248547949,-0.974950363, 0.036213548,-0.954170151, 0.055696620,-0.970845669, 0.035401497,-0.976283535, 0.034500816,-0.956461757, 0.053216435,-0.977159572, 0.027931043,-0.957550638, 0.103045658,-0.956173550, 0.066712173,-0.93496796, 0.09224826,-0.96801306, 0.07949465,-0.939609988, 0.104674489,-0.93063315, 0.10978840,-0.904185726, 0.146991650,-0.8746265921, 0.1897327102,-0.9658888917, 0.0497928414,-0.966568853, 0.050796930,-0.9466649437, 0.0913539183,-0.92544963, 0.13589217,-0.977898106, 0.031797912,-0.976689803, 0.034211594,1
 4,"SITTING",0.271538280,0.031335164,-0.007163065, 0.037205400,-0.105874596, 0.034816899,-0.980309931, 0.024239923,-0.890223981, 0.179158780,-0.932203007, 0.121528975, 0.869303006, 0.111306147, 0.211622540, 0.228763965, 0.110120481, 0.065632782,-0.981405295, 0.046900275,-0.932727104, 0.150915315,-0.950949255, 0.098826793,0.078450024,0.022456435,-1.085822e-02, 9.643219e-02,-1.215000e-02, 7.287446e-02,-0.976742196, 0.020471539,-0.944596106, 0.050496212,-0.979038766, 0.019368399,-0.0494435116, 0.0699811787,-0.089430061, 0.039248839, 0.1011503348, 0.1361975092,-0.970131790, 0.038369570,-0.958468120, 0.038220321,-0.92797223, 0.07662140,-0.096949484, 0.029057154,-0.041848390, 0.015196232,-0.048996435, 0.030039505,-0.969899731, 0.037557696,-0.984441358, 0.012599450,-0.968804832, 0.032452535,-0.9356948200, 0.0886481331,-0.91440784, 0.15860560,-0.9356948200, 0.0886481331,-0.91440784, 0.15860560,-0.970132284, 0.025960815,-0.962549110, 0.041619658,-0.926063314, 0.087552023,-0.92889829, 0.08043499,-0.980490462, 0.017731064,-0.975806690, 0.030202002,-0.977462498, 0.024699467,-0.905782932, 0.139902026,-0.951783743, 0.087187251,-0.981908189, 0.024453606,-0.889467349, 0.186309256,-0.926999317, 0.129009593,-0.976845713, 0.020621429,-0.944298391, 0.052091852,-0.975154906, 0.022620850,-0.978776912, 0.018505278,-0.949293158, 0.045085045,-0.981699448, 0.016002146,-0.960589636, 0.051982156,-0.967583648, 0.026982251,-0.93377689, 0.06311637,-0.97333311, 0.03418452,-0.954120419, 0.043840033,-0.93286835, 0.07387576,-0.929002095, 0.126323771,-0.9198157096, 0.1496132398,-0.9625007338, 0.0408382675,-0.961584519, 0.042784878,-0.9487697524, 0.0551356039,-0.92885055, 0.08180619,-0.976547763, 0.030203928,-0.976261754, 0.028223699,0
 5,"SITTING",0.273694140,0.026634755,-0.009900835, 0.036053661,-0.108540300, 0.034765787,-0.980945022, 0.017935733,-0.904335121, 0.160708661,-0.926094740, 0.084066558, 0.880731444, 0.122227492, 0.168445524, 0.206448404, 0.143006858, 0.110917606,-0.983137542, 0.032679448,-0.939942980, 0.146874178,-0.945009000, 0.070041415,0.074957741,0.011133050,-2.787733e-03, 8.326855e-02, 3.386096e-03, 4.748361e-02,-0.975204850, 0.019878984,-0.952786261, 0.036812864,-0.973436530, 0.017763134,-0.0422355210, 0.0507546737,-0.083548408, 0.030542311, 0.0823934452, 0.1497052944,-0.966225485, 0.038969558,-0.950064068, 0.050492268,-0.94063794, 0.06179418,-0.088974767, 0.020626836,-0.045470298, 0.029906982,-0.048771473, 0.038094792,-0.966037012, 0.023291289,-0.975433911, 0.017702458,-0.964878513, 0.029295089,-0.9379783225, 0.0786533303,-0.92093903, 0.12821803,-0.9379783225, 0.0786533303,-0.92093903, 0.12821803,-0.969320156, 0.023532696,-0.965757732, 0.029829218,-0.934301647, 0.085091919,-0.93141481, 0.07866315,-0.973848287, 0.018628693,-0.970392610, 0.023395847,-0.977450812, 0.020203494,-0.921434736, 0.123869937,-0.946064217, 0.051219395,-0.982590842, 0.017127016,-0.902291530, 0.167922295,-0.921843510, 0.093536537,-0.976024951, 0.019681584,-0.954237490, 0.035262698,-0.969501331, 0.019866972,-0.976530547, 0.018388791,-0.954464442, 0.036243393,-0.976022330, 0.015778891,-0.957117252, 0.040782206,-0.955460359, 0.043345083,-0.93800343, 0.05772964,-0.96939037, 0.03835808,-0.947571472, 0.054465047,-0.94734648, 0.05795373,-0.936290605, 0.101617789,-0.9256692911, 0.1217725272,-0.9644403023, 0.0303086968,-0.966545323, 0.029517143,-0.9447603220, 0.0576114974,-0.93474687, 0.07853829,-0.971598370, 0.021593566,-0.970675403, 0.024331733,1
 6,"SITTING",0.276778487,0.009817440,-0.014591162, 0.024077750,-0.110127729, 0.031474384,-0.980164934, 0.017885521,-0.923682131, 0.087178526,-0.925797097, 0.064773508, 0.933692935, 0.035130151, 0.068262866, 0.132095328, 0.069521966, 0.160311517,-0.988872369, 0.020560646,-0.960875995, 0.071132241,-0.955475832, 0.055958477,0.075472164,0.015575122, 2.556498e-06, 4.397000e-02, 6.237278e-03, 4.675175e-02,-0.969929476, 0.023937251,-0.945143686, 0.049498452,-0.958572953, 0.038034732,-0.0372442283, 0.0484204232,-0.089908330, 0.041555417, 0.0854346006, 0.1113878254,-0.957367682, 0.040565450,-0.944130045, 0.045387061,-0.93968135, 0.07034476,-0.093669352, 0.022639288,-0.033398670, 0.031466571,-0.046550431, 0.030438205,-0.943714805, 0.058292010,-0.961780726, 0.030246194,-0.958787671, 0.053419818,-0.9495435313, 0.0509301961,-0.93157266, 0.08357647,-0.9495435313, 0.0509301961,-0.93157266, 0.08357647,-0.962733502, 0.027969707,-0.948181828, 0.056816328,-0.932703812, 0.071631286,-0.92125947, 0.08316644,-0.962929228, 0.029347674,-0.950150572, 0.056706949,-0.975351455, 0.022169809,-0.928264365, 0.075924377,-0.935798115, 0.056737102,-0.982451285, 0.015968642,-0.925676956, 0.087704514,-0.925768476, 0.064935683,-0.971037480, 0.023496904,-0.947070821, 0.046622870,-0.954199786, 0.039862221,-0.971488767, 0.022481158,-0.946880042, 0.049665474,-0.961636555, 0.036684550,-0.939671401, 0.057153395,-0.943857393, 0.048245865,-0.93476490, 0.07741168,-0.96340705, 0.03546801,-0.944901470, 0.043614187,-0.94732680, 0.06194565,-0.935750391, 0.071200397,-0.9395472029, 0.0773984389,-0.9483486536, 0.0517539461,-0.947304700, 0.062915483,-0.9297256793, 0.0717660572,-0.92954914, 0.07736400,-0.952034566, 0.052329147,-0.951196693, 0.058685537,1
 7,"SITTING",0.284674637,0.041704334,-0.014610976, 0.023558225,-0.122464598, 0.094141054,-0.972668375, 0.066874643,-0.909454699, 0.149536328,-0.856532941, 0.236102075, 0.969147824, 0.012542332, 0.006088466, 0.031762842, 0.064963625, 0.045975845,-0.957082433, 0.135983387,-0.945436265, 0.110738366,-0.868602535, 0.281855508,0.066851979,0.047642615, 1.168634e-02, 6.933094e-02, 1.620041e-02, 1.475859e-01,-0.982158098, 0.019824539,-0.969458676, 0.034384777,-0.972256473, 0.023826282,-0.0496379720, 0.0689313781,-0.033611965, 0.162447436, 0.0259476655, 0.2065822012,-0.941870953, 0.121419743,-0.944124336, 0.058262406,-0.93702121, 0.09531516,-0.093815563, 0.040837175,-0.039644488, 0.031424076,-0.045456627, 0.035769903,-0.974369046, 0.041096168,-0.981024681, 0.019085842,-0.980954665, 0.028216396,-0.9184321071, 0.1301849671,-0.88195762, 0.23095208,-0.9184321071, 0.1301849671,-0.88195762, 0.23095208,-0.976559676, 0.022084728,-0.970243274, 0.036136668,-0.897870535, 0.149219008,-0.89806331, 0.15380627,-0.981665122, 0.022006313,-0.976214430, 0.031030875,-0.972697127, 0.060351507,-0.931490634, 0.105346635,-0.904675338, 0.162290124,-0.972879966, 0.069449487,-0.904629196, 0.159499200,-0.844083053, 0.252918605,-0.982037244, 0.021435383,-0.969423613, 0.034635251,-0.968503505, 0.026539508,-0.984026344, 0.016055522,-0.971814980, 0.031685351,-0.974699194, 0.021369054,-0.943631757, 0.096973016,-0.956678065, 0.044207719,-0.94741993, 0.07031704,-0.94272642, 0.12525309,-0.938244720, 0.065506518,-0.93982602, 0.09371288,-0.908956776, 0.173284266,-0.8869156382, 0.2217749017,-0.9709541842, 0.0327292814,-0.968494868, 0.040455804,-0.9330819552, 0.0885514138,-0.89580498, 0.16333149,-0.978634991, 0.025121352,-0.974965939, 0.035816365,1
 8,"SITTING",0.267491473,0.047963558,-0.006725506, 0.042640005,-0.104461049, 0.037738916,-0.979026152, 0.037147271,-0.927331997, 0.187941333,-0.939553030, 0.123383409, 0.832453878, 0.110909550, 0.240095117, 0.124440334, 0.263895186, 0.138427090,-0.966757967, 0.076858304,-0.937462301, 0.176652571,-0.935475332, 0.151594501,0.078671376,0.019598579,-6.575163e-03, 9.212009e-02,-1.068089e-02, 6.814654e-02,-0.985188754, 0.021615206,-0.980784606, 0.022333449,-0.985285807, 0.013301639,-0.0547396987, 0.0689092015,-0.095508924, 0.117694049, 0.0716048810, 0.1645379113,-0.984524053, 0.022417353,-0.971500697, 0.029645366,-0.95962355, 0.04300535,-0.092315025, 0.016445873,-0.040267377, 0.016737540,-0.044573224, 0.032364854,-0.993264647, 0.007933255,-0.988876277, 0.017592483,-0.985241405, 0.020440904,-0.9521397043, 0.0999092611,-0.92994362, 0.18097881,-0.9521397043, 0.0999092611,-0.92994362, 0.18097881,-0.986061512, 0.015435307,-0.980667377, 0.029563499,-0.932682243, 0.104781241,-0.95300163, 0.05484524,-0.991807428, 0.012632126,-0.986756671, 0.022043541,-0.981142910, 0.029941098,-0.944219718, 0.135525424,-0.959436276, 0.080103827,-0.978256731, 0.039792910,-0.923829969, 0.199222602,-0.933889847, 0.134065782,-0.984977271, 0.021578551,-0.980221105, 0.023046841,-0.982995311, 0.014597240,-0.986913611, 0.019802994,-0.983038783, 0.019883151,-0.986185349, 0.012179119,-0.982200310, 0.023947886,-0.976589890, 0.025077354,-0.96179868, 0.04221554,-0.98533930, 0.02188168,-0.968924433, 0.032095294,-0.96263225, 0.03956755,-0.947981783, 0.129650592,-0.9317212400, 0.1759996955,-0.9809322924, 0.0272144654,-0.979320212, 0.032570840,-0.9658067893, 0.0384285506,-0.95325116, 0.05565515,-0.987730604, 0.020160209,-0.986147263, 0.022931728,1
 9,"SITTING",0.248326744,0.103836178,-0.027016777, 0.034157621,-0.075378469, 0.107422996,-0.957227791, 0.071293198,-0.875141405, 0.187378000,-0.832001873, 0.270407065, 0.916324511, 0.137359620,-0.041425823, 0.138465823, 0.085263099, 0.224205821,-0.955280406, 0.111193368,-0.946451970, 0.091673188,-0.885854112, 0.219505539,0.077005006,0.031448474, 9.817397e-03, 5.310982e-02,-8.674673e-03, 1.188494e-01,-0.964535856, 0.042156581,-0.956777545, 0.045761553,-0.961889438, 0.034943348,-0.0423288768, 0.0537497543,-0.041427118, 0.185563426, 0.0807919286, 0.0779993571,-0.959020049, 0.042408136,-0.919188226, 0.100039086,-0.93017683, 0.10406605,-0.093070811, 0.017533755,-0.046663441, 0.035613596,-0.052841490, 0.025497935,-0.964532345, 0.037292700,-0.971927447, 0.029444878,-0.968738891, 0.042619581,-0.8933617176, 0.1842240591,-0.86375643, 0.22198471,-0.8933617176, 0.1842240591,-0.86375643, 0.22198471,-0.964383757, 0.036929059,-0.951780243, 0.056790975,-0.903235537, 0.116351956,-0.90660632, 0.10703459,-0.973364137, 0.028335423,-0.966361073, 0.039935482,-0.959413594, 0.057593393,-0.911683219, 0.104627184,-0.892201344, 0.139986215,-0.956903459, 0.076458037,-0.867613607, 0.208628330,-0.818001835, 0.305145439,-0.965596240, 0.040542571,-0.958007391, 0.042884272,-0.957526975, 0.036510674,-0.966660404, 0.040270054,-0.958522987, 0.046124154,-0.964941342, 0.033782390,-0.950315237, 0.049274919,-0.939693008, 0.058660488,-0.94031231, 0.07238597,-0.96183602, 0.04025081,-0.910583361, 0.119049485,-0.93418748, 0.10359523,-0.897718197, 0.145998974,-0.8691725114, 0.2207102698,-0.9530504408, 0.0534983625,-0.949394981, 0.060917983,-0.9344377378, 0.0651579575,-0.90647123, 0.11274589,-0.968315588, 0.036556714,-0.965997015, 0.041605899,0
10,"SITTING",0.270612056,0.032333267,-0.015042682, 0.032435761,-0.104253239, 0.017246170,-0.982901826, 0.031408037,-0.917979530, 0.189386607,-0.967826982, 0.062759063, 0.791887198, 0.136177175,-0.041260775, 0.432272099, 0.202534573, 0.108057363,-0.973128354, 0.064303065,-0.935690006, 0.168513613,-0.966898521, 0.084632397,0.077537251,0.017233983, 8.978755e-03, 9.452080e-02,-4.995664e-03, 4.242157e-02,-0.988946414, 0.015378120,-0.980756790, 0.024535226,-0.988255804, 0.010945580,-0.0432432177, 0.0483769249,-0.067999360, 0.122675193, 0.0745958869, 0.1787717807,-0.988873097, 0.018173437,-0.984373305, 0.024484092,-0.96044596, 0.05164304,-0.093155503, 0.011606682,-0.041121654, 0.012234587,-0.048941192, 0.036697332,-0.992326657, 0.011895180,-0.992584495, 0.010506167,-0.990259813, 0.013835507,-0.9607571996, 0.0837261645,-0.93966959, 0.14607941,-0.9607571996, 0.0837261645,-0.93966959, 0.14607941,-0.988054238, 0.014306269,-0.985209856, 0.023923806,-0.944202044, 0.099617939,-0.96306458, 0.05834195,-0.993707488, 0.008995628,-0.991696196, 0.014669674,-0.984943144, 0.023984867,-0.940450200, 0.135431554,-0.974644655, 0.044065191,-0.982242428, 0.034103696,-0.912838063, 0.201211236,-0.966121043, 0.067214367,-0.989365014, 0.013851085,-0.980962856, 0.023811916,-0.986056768, 0.012348308,-0.989550917, 0.015732708,-0.982045591, 0.023869109,-0.989110860, 0.009688513,-0.986477363, 0.020808383,-0.986179216, 0.019162581,-0.96539547, 0.04878226,-0.98971236, 0.01739201,-0.983579647, 0.027271410,-0.96241856, 0.04793239,-0.955281011, 0.113625450,-0.9415119528, 0.1391179095,-0.9859008011, 0.0212062821,-0.983266741, 0.027355440,-0.9744597326, 0.0396222183,-0.96245996, 0.05953838,-0.992191529, 0.012991917,-0.991409101, 0.015848726,0
